SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,4,0,0,0,15,11,28,44,29,19,15,5,3,0,162
SSC70158,0,16,52,48,56,31,4,0,0,216,0,5,41,37,41,20,3,0,0,148,0,5,21,43,37,26,3,0,0,128,0,0,21,26,35,16,3,0,0,99,0,0,17,34,41,14,4,0,0,112,0,0,3,6,12,4,0,0,0,29,20,15,40,43,45,42,24,4,0,234,137,120,330,357,342,242,91,36,8,1665
SSC70159,5,52,154,58,36,28,17,6,4,358,3,18,106,36,34,29,8,0,0,240,0,19,83,44,45,24,9,6,0,224,0,9,85,43,60,21,7,3,0,226,0,4,110,79,97,69,24,0,0,377,0,0,39,55,75,76,22,5,0,274,21,71,180,82,56,35,35,12,3,490,124,312,1013,556,518,380,210,71,22,3207
SSC70160,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,16,3,3,4,3,3,8,9,3,0,36
SSC70161,5,38,112,72,96,56,32,8,0,416,0,17,83,72,66,66,9,0,0,312,0,3,80,74,60,60,18,0,3,290,0,5,34,59,66,43,14,0,0,217,0,0,48,78,97,68,13,0,0,306,0,4,26,38,31,38,3,0,0,144,24,22,71,53,64,66,24,16,0,353,269,277,704,685,683,610,325,125,18,3693
SSC70162,0,0,3,0,0,6,4,0,0,10,0,0,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,7,3,0,18,0,0,5,7,14,29,33,10,0,94
SSC70163,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,9,3,0,6,3,3,3,4,0,0,26
SSC70164,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,0,0,0,10,5,0,4,5,7,5,8,0,0,34
SSC70165,0,6,7,4,6,8,4,0,0,27,0,5,0,6,6,4,0,0,0,21,0,0,0,9,10,3,0,0,0,29,0,0,0,7,3,3,0,0,0,11,0,0,4,9,9,3,0,0,0,24,0,0,0,3,4,0,0,0,0,9,17,10,9,19,17,11,5,4,0,84,48,29,49,73,69,67,24,5,0,367
SSC70166,0,0,6,3,3,3,0,0,0,15,0,0,3,3,3,0,0,0,0,9,0,0,0,3,3,0,0,0,0,10,0,3,3,0,0,4,0,0,0,9,0,0,5,8,3,0,0,0,0,22,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,9,6,20,31,25,18,15,3,0,0,119
SSC70167,0,8,36,22,15,16,9,0,0,114,0,0,37,25,17,24,3,0,0,116,0,0,27,22,23,12,3,0,0,92,0,0,15,19,21,22,0,0,0,73,0,0,19,24,41,18,4,0,0,109,0,0,13,19,17,9,0,0,0,62,23,17,52,38,33,18,16,12,0,199,132,93,310,259,254,169,133,46,7,1404
SSC70168,3,20,59,29,29,16,5,0,0,155,0,18,69,37,25,6,0,0,0,156,0,9,58,55,31,12,0,0,0,165,0,0,44,56,30,5,0,0,0,142,0,0,42,60,41,24,4,0,0,173,0,0,18,53,36,7,3,0,0,122,19,3,26,33,30,10,4,0,0,118,167,148,433,417,275,98,55,17,0,1612
SSC70169,7,18,48,56,48,52,16,0,0,235,0,9,38,54,44,39,9,0,0,197,0,0,42,30,37,27,4,0,0,143,0,0,13,32,35,16,0,0,0,98,0,0,39,43,45,29,0,0,0,155,0,0,7,15,15,12,9,0,0,51,31,23,71,53,38,47,27,11,3,303,201,167,466,445,416,391,192,60,15,2350
SSC70170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7
SSC70171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70172,3,3,13,0,9,3,0,0,0,30,0,0,11,3,7,7,0,0,0,27,0,0,5,6,3,4,0,0,0,24,0,3,0,4,4,7,0,0,0,20,0,0,7,4,9,5,0,0,0,30,0,0,0,0,0,0,0,0,0,4,39,31,59,153,33,15,0,3,0,343,182,238,432,412,244,147,25,9,3,1694
SSC70173,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,4,4,12,17,11,19,0,0,0,66
SSC70174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10
SSC70176,0,6,6,12,6,9,4,0,0,42,0,3,14,12,20,10,0,0,0,57,0,0,3,15,18,17,0,0,0,53,0,0,5,11,23,6,0,0,0,48,0,0,6,23,28,16,0,0,0,72,0,0,3,7,13,0,6,0,0,36,3,5,11,10,8,10,8,3,0,50,35,36,78,115,137,97,27,13,3,545
SSC70177,0,0,0,7,9,9,0,0,0,28,0,3,3,11,4,3,0,0,0,23,0,0,3,7,8,3,0,0,0,19,0,0,0,4,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,10,4,4,11,13,20,10,4,4,0,79,26,19,51,78,100,67,32,14,0,390
SSC70178,0,7,39,28,21,34,15,7,3,161,0,4,36,14,20,21,4,0,0,108,0,0,22,29,28,22,0,0,0,100,0,0,3,18,18,16,0,0,0,62,0,3,15,35,37,21,3,0,0,120,0,0,10,15,29,22,4,0,0,81,20,20,44,23,32,29,12,0,0,175,82,97,244,213,241,267,150,41,8,1333
SSC70179,0,0,3,3,8,0,0,0,0,15,0,0,3,0,4,3,0,0,0,11,0,0,0,0,3,0,0,0,0,8,0,0,0,0,6,4,0,0,0,14,0,0,0,3,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,7,6,8,10,7,14,15,13,0,0,70,14,21,29,44,66,70,41,15,0,302
SSC70180,0,3,3,3,0,3,0,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,6,0,4,3,0,0,0,15,0,0,4,8,3,0,0,0,0,12,0,0,12,10,5,3,0,0,0,31,0,0,0,0,3,0,0,0,0,5,6,3,3,4,5,9,6,0,0,38,24,23,40,39,46,49,38,3,0,261
SSC70181,0,3,13,9,12,8,5,0,0,48,0,4,10,12,10,6,4,0,0,41,0,0,4,17,17,11,3,0,0,45,0,0,14,15,3,7,0,0,0,40,0,0,5,21,22,11,0,3,0,54,0,0,0,11,7,0,4,0,0,21,8,0,12,18,13,15,15,11,3,87,52,28,78,148,97,94,66,34,3,606
SSC70182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,24,12,9,0,0,3,0,0,0,0,30
SSC70183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70184,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,4,13,4,12,9,10,0,0,53
SSC70185,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,40,56,53,60,40,6,3,0,295
SSC70186,0,0,3,0,5,0,0,0,0,14,0,0,0,4,0,0,0,0,0,5,0,0,3,4,0,3,0,0,0,8,0,0,0,3,0,4,0,0,0,5,0,0,3,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,22,5,7,11,3,3,0,0,0,52,136,104,214,193,134,78,30,5,0,893
SSC70187,0,23,78,49,43,34,14,3,0,236,0,7,52,53,30,18,5,0,0,161,0,0,32,36,39,22,3,3,0,134,0,0,28,25,33,17,4,0,0,101,0,3,52,34,27,19,3,0,0,132,0,0,9,13,12,4,3,0,0,39,23,27,61,42,44,36,25,8,0,261,129,152,518,420,357,263,165,83,7,2093
SSC70188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,24,18,17,8,7,0,0,108,16,18,24,18,17,8,7,0,0,108
SSC70189,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,7,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,3,16,5,4,5,0,0,0,65,59,49,125,60,45,39,11,0,0,388
SSC70190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,24,16,41,33,20,18,13,0,0,164
SSC70191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,0,9,33,35,31,21,6,3,0,150,0,5,20,37,26,23,9,5,0,121,0,0,30,27,16,19,3,0,0,93,0,0,15,24,18,25,0,0,0,86,0,0,15,45,33,22,0,0,0,123,0,0,6,10,13,9,0,0,0,39,15,5,28,33,29,31,28,16,0,194,159,92,259,329,270,231,153,54,9,1559
SSC70193,3,14,55,50,39,30,3,3,0,199,0,7,49,44,43,18,3,0,0,159,0,3,32,31,34,18,3,0,0,119,0,0,18,32,22,17,3,0,0,88,0,0,14,29,33,27,0,0,0,106,0,3,8,11,4,7,0,0,0,33,44,24,73,55,50,41,29,3,3,328,230,177,449,423,382,281,162,42,6,2156
SSC70194,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,3,6,7,0,3,0,0,0,26
SSC70195,0,6,20,7,4,5,0,0,0,49,0,0,8,8,3,10,0,0,0,25,0,3,15,11,4,0,0,0,0,32,0,0,8,5,4,3,0,0,0,26,0,0,12,15,12,14,0,0,0,53,0,0,3,3,22,11,0,0,0,41,7,5,21,15,8,5,0,0,0,74,30,25,126,93,73,61,11,4,0,421
SSC70196,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,16,8,23,38,25,4,4,0,0,126
SSC70197,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,14,6,5,11,11,16,10,4,0,0,63
SSC70198,0,32,91,44,28,3,0,0,0,196,0,23,99,55,19,13,0,0,0,207,0,15,91,53,26,5,3,0,0,186,0,4,58,42,17,6,0,0,0,133,0,3,61,64,35,14,0,0,0,178,0,0,28,32,27,10,0,0,0,94,7,17,55,21,22,4,0,0,0,128,93,201,661,398,220,78,16,8,0,1673
SSC70199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70200,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,29,17,14,9,4,0,0,0,87,21,57,56,49,39,26,12,3,0,264
SSC70201,0,14,39,41,21,21,20,0,0,158,0,5,30,27,17,13,3,4,0,108,0,3,10,30,24,23,8,0,0,96,0,0,15,28,23,18,3,0,0,88,0,0,18,36,44,30,3,0,0,128,0,0,7,20,20,7,0,0,0,53,10,7,28,28,16,28,12,4,0,149,129,123,309,314,266,218,155,59,7,1584
SSC70202,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,31,3,0,3,0,0,0,0,138,105,36,13,5,7,3,3,0,0,162
SSC70203,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,11,4,13,7,5,0,0,45,26,36,54,40,40,46,11,3,0,252
SSC70204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,26,12,15,13,5,0,0,83
SSC70205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,6,9,3,0,0,0,41
SSC70206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,41,67,40,24,12,3,0,0,245
SSC70207,0,3,3,3,4,0,0,0,0,11,0,0,4,0,4,3,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,3,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,85,16,40,15,18,10,5,0,0,188,142,92,193,146,99,73,18,3,0,779
SSC70208,3,16,63,49,44,24,7,0,0,206,3,15,41,43,42,28,10,0,0,181,3,6,26,50,54,22,7,0,0,166,0,8,31,60,49,26,3,0,0,174,0,7,70,88,83,47,3,0,0,300,0,0,13,39,36,11,3,0,0,104,58,41,103,77,67,67,31,4,0,438,173,167,503,562,505,305,110,8,0,2340
SSC70209,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,13,10,8,3,4,0,0,46
SSC70210,0,28,111,64,50,28,24,3,0,308,0,19,102,50,37,35,19,0,0,258,0,4,93,52,41,35,12,3,0,238,0,3,49,47,49,37,8,0,0,192,0,3,75,94,80,58,12,0,0,318,0,0,22,58,54,40,8,0,0,186,22,30,114,68,62,41,47,10,0,405,172,221,858,633,514,410,289,74,18,3191
SSC70211,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,3,3,0,3,3,0,0,19,14,7,23,18,20,12,13,0,0,111
SSC70212,0,3,3,0,10,7,3,0,0,22,0,0,4,4,9,5,0,0,0,25,0,0,0,0,10,3,0,0,0,7,0,0,0,0,6,3,0,0,0,8,0,0,7,3,5,3,0,0,0,16,0,0,0,0,3,4,0,0,0,10,0,0,0,15,9,12,13,0,0,46,19,15,24,44,70,58,39,3,0,265
SSC70213,0,0,0,0,3,0,3,0,0,5,0,0,4,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,32,7,21,7,13,6,0,0,0,91,79,51,149,88,86,45,24,7,0,540
SSC70214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,6,0,3,4,0,0,0,0,0,0,11
SSC70215,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,17,15,36,33,28,11,9,3,0,162
SSC70216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,14
SSC70217,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,7,4,9,3,0,9,4,3,0,0,30
SSC70218,0,0,7,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22,3,0,20,0,0,0,56,26,29,87,48,38,57,6,3,0,295
SSC70219,0,21,70,39,29,20,13,0,0,201,0,15,75,31,29,15,8,0,0,176,0,4,74,41,33,19,9,0,0,184,0,8,35,24,35,19,15,0,0,132,0,3,66,81,61,34,4,4,0,256,0,0,47,78,79,33,14,3,0,258,8,17,65,46,56,43,19,5,0,252,101,148,593,470,417,273,148,40,5,2203
SSC70220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
SSC70221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,9,0,0,0,0,0,21,18,31,12,22,24,7,0,0,0,111
SSC70222,0,4,3,0,0,0,0,0,0,18,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,8,11,3,5,5,0,0,0,47,10,28,50,16,20,16,16,0,3,160
SSC70223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,13,10,20,8,13,7,3,3,0,75
SSC70224,0,3,3,0,6,4,0,0,0,20,0,0,0,0,3,3,3,0,0,8,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,5,0,0,0,8,0,0,3,0,0,0,0,0,0,4,6,3,3,3,9,7,0,0,0,39,29,24,36,35,48,51,30,17,0,257
SSC70225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,11,3,0,0,20
SSC70226,0,0,3,3,3,0,0,0,0,12,0,0,3,5,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,9,33,3,7,0,0,0,61,19,20,53,92,34,35,6,10,0,274
SSC70227,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,0,20
SSC70228,0,0,3,3,5,0,0,0,0,10,0,0,0,0,0,3,3,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,14,3,9,17,12,22,14,8,0,0,83
SSC70229,0,0,5,0,8,0,0,0,0,11,0,0,4,0,0,3,0,0,0,10,0,0,3,6,0,0,0,0,0,11,0,0,3,3,0,3,0,0,0,12,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,14,10,10,13,14,5,0,0,85,61,90,156,120,109,57,23,4,3,622
SSC70230,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,5,0,3,6,0,0,42
SSC70231,0,17,83,65,51,28,11,6,0,266,0,3,70,34,35,44,14,3,0,197,0,4,48,49,38,33,7,4,0,181,0,0,41,47,58,33,7,0,0,190,0,0,49,52,64,59,11,5,0,245,0,0,28,30,46,20,3,3,0,134,27,36,88,86,67,49,28,12,5,395,165,175,660,574,471,397,184,69,18,2712
SSC70232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,3,3,0,0,13
